asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B00005308B,2016-12-29,5.0,Five Stars,Arrived as expected.,"Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2016-06-06,5.0,"Uncluttered scent, good deodorant.","I grew tired of all the scents cluttered with menthol, pine, etc. I prefer scents like bergamont and sandalwood that blend with natural skin scents and that do not blast the olfactories of people around me. This is a tried and true scent. I am not a fan of ""old time"" products, particularly scents. But there are reasons that the venerable Old Spice keeps coming back. This not -repeat not- the original Old Spice scent, not since Procter and Gamble bought the product. But it is nice. More complex that I expected, and pleasant.","Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2015-11-21,5.0,That old time Old Spice Smell,Nice smell works well.,"Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2014-10-24,3.0,Three Stars,"Very effective, but maybe TOO ""long-lasting""; takes 3 days to wash off the stickiness.....","Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2014-09-27,5.0,Five Stars,Husband loves this brand and scent.,"Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2014-02-26,5.0,Old Sipce,The name says it all: Old Spice. This is a classic product. It does an excellent job at keeping odors at bay.,"Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2013-03-29,1.0,"Old Spice High Endurance Anti-Perspirant/Deodorant Invisible Solid,","This is ""Not"" the Invisible Solid as described I order 3 times and all three time the wrong product was sent.","Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2013-01-02,4.0,Hard to obtain Original scent,"Hey, not a lot to say about this product other than it smells like original Old Spice. A friend comments that that means ""smells like your old uncle."" Well, I'm the uncle of 16 kids, so I guess I qualify! Oddly enough, it is hard to get this original scent at Walgreens and similar stores. All the ""old Spice"" smells like something else. Go figure....","Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B00005308B,2006-03-23,1.0,FAILURE OF PACKAGING,"Purchased from Walmart, when I tried opening the tube, the plastic top would not release. Then, when I finally did get it free, the vacuum inside sucked the nozzled top up with it. This led to some of the contents being drawn out as well. Now, when I turn the knob to lift the deodorant through the nozzle, it does not work well. I get too much deodorant. Any ""body"" else having this problem? And. . . . how can i reach P&G to get a refund? Jack","Old Spice High Endurance Anti-Perspirant & Deodorant, Original 3 oz",Old Spice,All Beauty,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",9,"Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.","Using this is like chumming the air for pretty ladies who are doctors that supermodel in their spare time. They wont be able to see the source of the square-jawed quarterbackliness hanging in the air until they start biting on you. And by then, its way too late for them.",original,Bath & Body
B000067EE4,2017-06-12,1.0,Not enough,Not enough power,Dual Jet Bath Spa,Conair,All Beauty,,8,,Product: Dual Jet Bath Spa. Brand: Conair.,generated_from_title,Bath & Body
