asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B00021DI10,2010-06-12,2.0,Not Really Gardenia,"I'm looking for a true to life gardenia perfume. This is not that. It barely smells like gardenia, and instead has some overwhelming, obnoxious note I've smelled in men's colognes. And the oddly designed spray top breaks after a couple spurts, forcing you to have to take the whole thing apart to try to get it to spray.",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2008-12-09,5.0,Finally a fragrance for me!,"I have never really worn a fragrance on a regular basis until this one. My friend sent me the coolest gift from Sephora that contained maybe eight different fragrances and you wore each one then took a gift card to buy the one you liked the most. I don't think this one is great for summer, it's a little too heavy but you could wear it in the evening during the summer. I LOVE it!!!! And have asked for a new bottle for Christmas this year.",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2008-05-13,5.0,Marc Jacobs Perfume,"This scent is delightfully sexy and soft. Great scent, I have this is my evening scent. I have worn this perfume for over five years. I love it found out about it threw a guy friend who wore the masculine to this scent. And I have remained in love ever since........",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2007-07-29,5.0,Finally!,I finally found a gardenia perfume that actually smells like gardenia! I love this perfume! It's not to heavy and smells wonderful.,Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2007-01-11,4.0,Best day to day...,"I'm not a big perfume girl. I mean, I love the pretty bottles and tend to store up the really antique (or antique-y looking) ones. But I generally prefer essential oils over perfume. That said, out of the dozens that I own, I keep three on hand at all times. (Four if you count the little mini I got from SpaceNK) Santa Maria Novella for rubbing on my ankles. I know it's a bit mature but it reminds me of Italy. And monks. Chanel Mademoiselle because my mother always taught me to love Chanel and I just prefer that scent to the others. And Marc Jacobs because, to be honest, if I had to choose the loveliest, this would be it. It's lovely and light. Not too over powering. Affordable. And gets tons of compliments. Also comes in cute bottle. :)",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2006-11-13,5.0,Complex and interesting,"This is not a strong floral fragrance and not sweet, but it smells wonderful. It just gets better and better on your skin. Very complex, very different.",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2005-07-19,5.0,very pretty,"I've been looking for a new summer fragrance and after I smelled it in the magazine I decided I had to have it. Smells like actual fresh flowers at first, dries down to a nice somewhat woodsy floral. This perfume is fairly subtle so if you have a problem with anything overpowering this one is for you.",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2005-05-04,5.0,Ultimate feminine scent!,"If I had to choose a fragrance that was THE most feminine I've ever smelled, it would be Marc Jacobs. Yes, it's a gardenia based scent, but definitely not your typical musty, heavy gardenia by any means. Marc Jacobs is different in that it is a 'wet gardenia', like you're smelling a bunch of gardenias that have been swirling around in a bowl of fresh water. Intoxicatingly alluring. The notes of this fragrance are: Gardenia, Wild Muguet, Skin Musk, Cedar, Ginger. The gardenia in this is faint, but lovely. It isn't a knock-you-out strong gardenia, but very mellow and mesmerizing. It'll follow you like a breath of fresh air, and you'll have people sniffing the air you leave behind. :) If you've ever smelled Michael by Michael Kors, this is DIFFERENT. Michael is not gardenia, but it is a tuberose scent. It is very strong, creamy, heavy, and thick. If you like Michael, you may like Marc Jacobs as your spring/summer alternative. They're in the same family in terms of florals and such, but different in terms of how they wear. Marc Jacobs being flowy, and Michael being heavy. The 1.7 oz. retails at $65, and the 3.4 oz. at $85. It's quite expensive, but it does have that brand-name smacked on the front. :) I think it's worth it. The lasting power is decent. Even when you may feel it is gone, it's not, and people will compliment you. Try it out and see how you like it on your skin!",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2005-04-23,5.0,Fresh,"My husband and I sat next to a woman on our flight to Prague who smelled absolutely delicious. A asked her what fragrance she was wearing, and she replied Marc Jacobs. I remember it was fresh and clean, and subtly floral without being overly sweet. Now - 6 months later - I came across it in Lord & Taylor, sprayed a tester on my wrist, and instantly remembered why the fragrance was so captivating. Without more than 30 seconds of contemplation I purchased the gift set - can't wait to experience this fresh, winning scent over and over again.",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
B00021DI10,2005-04-21,5.0,wondeful!,"For a long time I avoided anything with gardenia like a plague-it always smelled too sickly sweet to me. This perfume changed my mind completely-yes, there is gsrdenia but its very light and fresh and unlike any gardenia you've ever smelled. Try it for yourself!",Marc Jacobs Perfume,,All Beauty,,10,,Product: Marc Jacobs Perfume.,generated_from_title,Fragrance
