asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B0001LVME6,2015-03-20,5.0,Five Stars,Thank you,Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2013-08-05,5.0,I use it to shave my face,"I use this to shave my face. I find it protects better than any shaving cream I have ever use. I get less irritation and the razor glides easily across my facial hair. Guys, give this a shot",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2013-02-28,5.0,Leaves you feeling softer,"This cream is nice to use all over your body, makes my legs feel very smooth as well. Good smell, no complaints.",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-09-18,2.0,"Too thick, and the pump was bad","The product was a bit thick for my razor, but it did smell very good. The pump didn't dispense well, either, which I think was because of the consistency of the lotion. Not wowed like the other reviewers, so I haven't really used it.",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-09-10,2.0,Coochy Cream,"I have very sensitive skin and was told this product would 100% prevent razor burn. TRUTH?... It doesn't! I've enjoyed using it, yet I don't feel it's much better than using shaving cream, in fact, it feels like conditioner. Actually, the bottle says you could use the product as conditioner. However, actually using lotion or conditioner in the shower to shave, I could have purchased that cheaper than Coochy Cream. Will not be buying this product for this purpose again. There are cheaper alternatives that work just as well!",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-07-27,5.0,LOVE this product!,"LOVE this product! This is BY FAR the best shave cream I've found, and I've tried many! My hair is dark and thick - thanks to my father - and I shave EVERYDAY! This helps keep me smooth and I have little to no breakouts!",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-07-14,2.0,Not rash free for me.,"I have fairly sensitive skin and I still get a rash using this. I've given it a chance and used it several times, but it just doesn't seem to help at all. Doesn't have much of a scent either.",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-07-06,5.0,The Best!,"If you want the best product for your legs, you have found it with Coochy Green Tea. I have used it for years. A little goes a long way too. Your legs and underarms will be silky smooth and not have any red bumps or rash from it. And I have never cut myself either. Truly an amazing product, you MUST try it. You will never use anything else again!",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-04-29,5.0,Changed my shaving experience!,"I've never had overly sensitive skin so I didn't know how much better it could be! Since purchasing this cream, I have YET to cut myself shaving. It is that good. It smells great and even better, a little bit goes a long way. I would recommend this product to my best friend. It's a treasure and a great buy.",Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
B0001LVME6,2011-02-19,3.0,its alright but i wouldn't recommend,i was under the impression that this stuff was amazing but really its not like shaving cream at all. its like lotion. i just didn't love it and only used about a 5th of the bottle at most.,Coochy 8oz Green Tea,Classic Erotica,All Beauty,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",10,"Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.","Coochy Green Tea Rash Free Shave Creme 8 Ounce Size Is Specially Formulated To Protect The Skin And Provide A Smooth Moisturizing Shave To Any Part Of The Body. Designed For All Skin Types, Including Sensitive Skin. Appropriate For Use On Legs, Underarms, Pubic Area, Face And Body. Coochy Is Also A Great Moisturizing Conditioner That Softens Even The Coarsest Facial And Body Hair.",original,Hair Care
