asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B00021VRTA,2015-11-25,4.0,GREAT product-Estee Lauder should be embarrassed to charge this much,"This stuff is far and away the best makeup for me and my pale,flawed skin. I use it as a sub for the discontinued Maximum Cover Camouflage Make up in Ivory. But now the price of this has gone WAY UP.",Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2015-06-08,5.0,Este Lauder concealer works great!,Great concealer. I've been using this for years.,Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2014-10-07,5.0,Five Stars,Great,Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2013-11-23,5.0,This is my kind of lasting product,I have used this product for years and keep it at all times. It covers under eyes and any blemishes on your face.,Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2013-10-24,5.0,Great to find discontinued product,This product has been discontinued by Estee Lauder. It is the best concealer I have found to cover broken capillaries on my cheeks. I was very happy to find it still available on Amazon.,Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2011-09-27,1.0,Why so expensive?,"This is an awesome concealer, the best I've found, and I use it every day. So this rating is in no way a reflection on the product. This rating is all about the price. Why on earth would anyone pay $34.50 for this concealer when you can get it on Estee Lauder's own website for $20? Whoever is trying to sell this thing has obviously not done their homework.",Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2011-03-02,1.0,I don't get it...,"I don't understand how this product can be so expensive... I bought it for a friend, so I really don't have any experience with the product itself and it probably doesn't help that I'm male and therefore don't really see the apeal in such things anyway, but that being said, I would wager you could find something similar and much more reasonably priced at your local walgreens. What you think you're getting from this product is 99% just in your head. Your better off spending thirty bucks on something else, maybe one of those starbucks refillable gift cards...",Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B00021VRTA,2010-12-21,5.0,Great Concealer,"I've been skeptical of concealers as they usually don't cover up well, or tend to crack or dry up. Not this one. This concealer goes on smoothly and blends in well, and does a great job of covering up without your face looking as if it were spackled. I've tried some over the counter concealers, and a couple of high-end ones, and this one is the best one I've found so far. Worth the money as you only need a small dot of creme, and it lasts all day. I have medium skin tone and use the Smooth Ivory color.",Estee Lauder Smoothing Creme Concealer 01 Ivory,CoCo-Shop,All Beauty,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,8,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,Buy Estee Lauder Concealers & Correctors - Estee Lauder Smoothing Creme Concealer 01 Ivory,original,Makeup
B000H3NF70,2008-04-08,3.0,Caution: Glitter Ahead,"I purchased Ooh and Aah. I wasn't happy with one application, as it appeared there were only black glitter pieces here and there and I wanted more black so I applied it heavily. I had to wait a few min for it to dry b/c at first it got all over my lid when I thought I'd waited long enough. I wear contacts and sometimes touch my eyes too much, which is probably why this liner chipped off near the corners of my eyes---or maybe I applied too much. I noticed by the end of the night that my eyes were irritated, but I wasn't exactly sure if the glitter had actually gotten in them b/c I couldn't see anything. Sometimes a tear in my contact or dry / old contacts have the same effect. So I guess I'll say it's worth another shot, but be very precise while applying and allow enough time to try. All glitter liners including Urban Decay appear to get mixed reviews either they love it or hate it. But I myself have more trouble with liquid liners, so if you're a pro, this could be a good buy for you.",Too Faced Starry-Eyed Liquid Eyeliner,,All Beauty,,9,,Product: Too Faced Starry-Eyed Liquid Eyeliner.,generated_from_title,Makeup
B000H3NF70,2008-03-13,5.0,Going to buy them all!!,"I bought mad mad love for my wedding and I LOVE it! I thought I would only want to wear it that day, but I have worn it everyday since I bought it. I am going to buy them all...they are the best glitter product I have come across and trust me...I love glitter!",Too Faced Starry-Eyed Liquid Eyeliner,,All Beauty,,9,,Product: Too Faced Starry-Eyed Liquid Eyeliner.,generated_from_title,Makeup
