asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B00005355V,2005-10-12,3.0,Not quite up to standard.,"I got this blade in the mail a few years ago, Gillette sent this out to potential customers. I tried it and it's a decent blade. They use 3 blades, but while it is better than single or double blades, the swivel effect from the razor itself makes getting cut by the blades rather easy. I got a cut at least 2 times a month. It would leave me a bit irritated too. The price for the blades were a bit much too. The strips wore down rather quickly, but I've moved onto the Schick Quattro and haven't looked back since.",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-09-13,5.0,The Best a Man Can Get!,Nothing better than the Gillette blades for a close shave. Blades last for several shaves on a tough beard.,Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-09-04,5.0,Good for the price,"Pretty standard stuff... Mach3 blades are good, as we all know",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-09-02,3.0,Prefer single-blade razors,"While this product did the job, it left me with irritating ingrown hairs. The blades are relatively expensive too. I moved to a double-edged, single blade razor and have not regretted it. It was gentler on the skin, the shave was better and I hardly had any ingrown hairs. The double-edged, single blade is much cheaper too, so it was a win-win change.",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-08-14,5.0,Try them if you have a Venus handle!,"Although these blades are marketed for men, I am a woman and love them more than the Venus ""women's version"". If you like the Venus handle though these blades will clip right on, I love it. And talk about long lasting- I kid you not: I shave my armpits every time I shower- almost everyday, and it is sick but I have used the same blade for weeks and weeks! I don't recommend that, but you've gotta do what you've gotta do. Mach3 may be on the expensive side but they last longer and work better (very smooth shave) than any blade I've tried.",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-08-12,5.0,"Excellent cut-free shaving, at last!","I have been using the Mach3 since it was first released by Gillette - it is the best razor that I have ever used. I always get an excellent close shave and never have any cuts or nicks. The cartridges are a bit expensive, but well worth it.",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2005-08-03,5.0,Purchase price was reasonable !!!,I really like Mach 3 Blades & the cost was very competitive with the discount stores.,Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2003-07-09,3.0,"Good, but not great","Mach3 is an enormous improvement over the Sensor, don't get me wrong. It's still not great, though. I always thought that safety razors were supposed to be, well, safe, but I still get nicks and scratches with a Mach3. For best results, shave every other day with it. At that point, you get a nice, close shave with little irritation. It gets a bit painful for everyday use, though. If you can swing the extra dough, I'd recommend the Mach3 Turbo instead.",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B00005355V,2003-01-21,5.0,for a smooth shave,"i have tried all types of razors but this is the best yet ,less facial burn,smooth shaving,its a pleasure to shave instead of burning chore .",Gillette MACH3 Shaving Cartridges (12 Cartridges),Gillette,All Beauty,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,9,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,A revolutionary new <b>triple-blade shaving system</b> for the closest shave ever in fewer strokes - with less irritation.<br /><br /> <b><i>Gillette. The Best a Man Can Get.</i></b>,original,Men's Grooming
B0009MFUP4,2007-02-14,5.0,Norelco Quadra7 Shaver,"I ordered a Norelco Quadra 7 Shaver (7610X) and found it to be an excellect purchase - I have a Remington, but I found this Norelco to be much smoother and cooler when shaving - quite happy...",Philips Norelco 7610X Quadra7 Men's Shaving System,Philips Norelco,All Beauty,"Norelco's Quadra7 Shaving System offers Rechargeable Cordless shave with a 4 Stage Multi-Blade Cutting System has unique slots and holes which remove the toughest stubble, long or short.",8,"Norelco's Quadra7 Shaving System offers Rechargeable Cordless shave with a 4 Stage Multi-Blade Cutting System has unique slots and holes which remove the toughest stubble, long or short.","Norelco's Quadra7 Shaving System offers Rechargeable Cordless shave with a 4 Stage Multi-Blade Cutting System has unique slots and holes which remove the toughest stubble, long or short.",original,Men's Grooming
