asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B0009W7MDM,2016-04-02,5.0,Five Stars,Great product,"Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2015-09-16,5.0,Five Stars,Cinnaminy fresh,"Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2015-03-06,5.0,Cinnamon toothpaste? Yep!,"When I first heard about this, it didn't make sense to me. Cinnamon toothpaste? Well, I've been using it for years now, and I've never really been tempted to go back to normal, non-cinnamon toothpaste. If you're feeling adventurous but can't afford to go skydiving, give this toothpaste a try.","Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2015-03-01,5.0,Five Stars,Couldn't find it locally - Good price on Colgate,"Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2014-07-18,5.0,but it's great. I was tired of minty this and fresh ...,"I cannot find this in the store anywhere. I originally bought it in a store on a whim, but it's great. I was tired of minty this and fresh mint that, and cool mint the other. They have 53 ways of saying ""mint"" but only one of these. Thanks Amazon.","Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2014-04-24,5.0,Just what it says,This shipped quickly and delivered in a timely way and was exactly what it promised to be. This is my favorite toothpaste and it's become increasingly harder to find where I live. Getting enough of it to last my family a year or more and having it delivered without the headaches of standing in line and searching for it was heaven.,"Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2014-03-07,5.0,It's my favorite.,"I've been purchasing this item, Colgate's Cinna-Mint, for years. However, it's rare to find this item sold here in my community of 90,000, despite the wonderful shops and box stores. The flavor of this product, Cinna-Mint, is refreshing and keeps my teeth sparkling clean and fresh for hours. Other brands and flavors of tooth paste are often too sweet and nauseating. For those of you who like the freshness with a pleasant taste of cinna-mint in your mouth while keeping your teeth clean and bright, this product is for you. I recommend this item for all. RDM","Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B0009W7MDM,2013-08-03,5.0,"Thank you, Amazon! I have my favorite tooth paste again!","My local stores stopped carrying this a couple of months back, so I was delighted to find it at Amazon. The tooth paste has a strong cinnamon flavor (which I love), foams up very well, and it leaves my mouth and tongue happy.","Colgate Sparkling White Fluoride Toothpaste, Gel, Cinna Mint , 8.2 oz (Pack of 6)",Colgate,All Beauty,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",8,"Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b","Exciting flavor! White teeth with a burst of cinnamon. Stain protection formula. Clinically proven, stain protection formula for sparkling, healthy white teeth accompanied by a unique flavor experience. Whitens teeth, removes stains, helps prevent stain b",original,Nails
B000J0KMPO,2018-04-07,5.0,Smells so good. I put it on my dry,"Soaks in quickly. Smells so good. I put it on my dry, thin nails every night and as often as I can remember to during the day and my natural nails have never been better. They have become strong and actually pretty!",Dadi Organic Nail Cuticle Skin Oil Treatment,Dadi'Oil,All Beauty,"Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E",9,"Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E","Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E",original,Nails
B000J0KMPO,2018-01-21,5.0,Moisturizes,Absorbs into my fingernails and prevents hangnails! Love the product!,Dadi Organic Nail Cuticle Skin Oil Treatment,Dadi'Oil,All Beauty,"Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E",9,"Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E","Contains Extra Virgin Olive Oil, Refined Avocado Oil, Jojoba Oil and vitamin E",original,Nails
