asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B0000535UR,2018-04-29,5.0,Wonderful for dry skin,This stuff is amazing for dry skin. We moved to a dry climate and my skin got very dry on my face this product is the only thing that worked!,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2017-08-02,5.0,... been using Jason's Aloe Vera for years and really like the way it is absorbed into my skin,I have been using Jason's Aloe Vera for years and really like the way it is absorbed into my skin.,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2017-07-09,5.0,Five Stars,I love this product.,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2017-04-21,2.0,I think they would do better using a squeeze bottle that can be stored upside ...,"This aloe gel leaves your skin a bit shiny and sticky. I prefer the thinner more watery aloe products. Additionally, as with other Jason products the pump bottles tend to leave a lot of product in the bottom of the bottle, forcing you to remove the top, and try to shake out the rest. I think they would do better using a squeeze bottle that can be stored upside down.","JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2017-01-06,5.0,Best product ever for the skin,I LOVE this product..use it everyday !,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2016-12-13,5.0,Five Stars,Greatproduct,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2016-11-30,5.0,Five Stars,4 stars says it all.,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2016-06-19,3.0,Three Stars,It does what it needs to do. But the scent of the product is strange.,"JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B0000535UR,2012-11-23,5.0,Best skin tonic,"I was amazed how quickly I got relief on a burn when I used Aloe Vera, almost like magic. I find it very good for giving my dry itchy skin.","JASON Natural Cosmetics Aloe Vera 98%, Moisturizing Gel, 8 oz",JASON,All Beauty,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",9,"JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.","JASON Aloe Vera 84% Lotion helps soften and soothe dry, chapped skin. Enriched with Herbal Extract and Vitamins A & E, this daily lotion help protect skin from free radical formation while it smoothes. Works great as an after sun or shaving skin soother.",original,Skin Care
B00009RB15,2010-07-31,5.0,amazing piece of equipment!!!,i have had mine since 1999 im still using it today 2010 . i have never changed the blades and shave with it mostley dry.the gel thing was cool at first but didn't need it after all.the back cover has broken off making it a lil hard to charge so i have to prop it up just right but no biggie im good at it now it broke like 5 years ago the battery last me weeks before charging. i cant say enough its just amazing its a part of me now lol i don't think i could replace it if completley broke.,"Philips Norelco Electric Razor Shaver, Model 6705X",Norelco,All Beauty,"Norelco's Advantage shaving lotion dispensing Razor Rechargeable cordless shavers used to be as convenient as it got. With the Advantage shaver, Norelco adds one more perk--shaving lotion automatically dispensed while you shave. Designed for use at the sink or in the shower, the Advantage uses slim cartridges of Nivea shaving lotion or gel, squeezing out a portion when you depress a simple button. Loading the shaver is easy--the lotion cartridges just slide into position under the back hatch. Plus, thanks to its structure, the shaver can simply be rinsed clean under the faucet. Backing up the innovative shaving lotion feature are the company’s patented Lift and Cut technology and self-sharpening blades for a consistently smooth face. The shaving heads float individually and the entire surface flexes for ideal contouring. A charge of 8 hours delivers 40 minutes of shaving time, and automatic worldwide voltage makes the unit a good traveler. The Advantage comes with a charging stand, a charging indicator light, six samples of lotion, and Norelco’s satisfaction-guarantee. <i>--Emily Bedard</i>",10,"Norelco's Advantage shaving lotion dispensing Razor Rechargeable cordless shavers used to be as convenient as it got. With the Advantage shaver, Norelco adds one more perk--shaving lotion automatically dispensed while you shave. Designed for use at the sink or in the shower, the Advantage uses slim cartridges of Nivea shaving lotion or gel, squeezing out a portion when you depress a simple button. Loading the shaver is easy--the lotion cartridges just slide into position under the back hatch. Plus, thanks to its structure, the shaver can simply be rinsed clean under the faucet. Backing up the innovative shaving lotion feature are the company’s patented Lift and Cut technology and self-sharpening blades for a consistently smooth face. The shaving heads float individually and the entire surface flexes for ideal contouring. A charge of 8 hours delivers 40 minutes of shaving time, and automatic worldwide voltage makes the unit a good traveler. The Advantage comes with a charging stand, a charging indicator light, six samples of lotion, and Norelco’s satisfaction-guarantee. <i>--Emily Bedard</i>","Norelco's Advantage shaving lotion dispensing Razor Rechargeable cordless shavers used to be as convenient as it got. With the Advantage shaver, Norelco adds one more perk--shaving lotion automatically dispensed while you shave. Designed for use at the sink or in the shower, the Advantage uses slim cartridges of Nivea shaving lotion or gel, squeezing out a portion when you depress a simple button. Loading the shaver is easy--the lotion cartridges just slide into position under the back hatch. Plus, thanks to its structure, the shaver can simply be rinsed clean under the faucet. Backing up the innovative shaving lotion feature are the company’s patented Lift and Cut technology and self-sharpening blades for a consistently smooth face. The shaving heads float individually and the entire surface flexes for ideal contouring. A charge of 8 hours delivers 40 minutes of shaving time, and automatic worldwide voltage makes the unit a good traveler. The Advantage comes with a charging stand, a charging indicator light, six samples of lotion, and Norelco’s satisfaction-guarantee. <i>--Emily Bedard</i>",original,Skin Care
