asin,review_date,rating,review_summary,review_text,product_title,product_brand,product_category,product_description,review_count,desc_best,product_description_filled,desc_source,category_lv2
B000FZZ582,2016-07-19,5.0,Five Stars,It was recommended by my doctor to control Blepharitis. Works great so far.,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2016-02-08,5.0,Work very well,I have chronic dry eyes and take the Thera tears for relief along with their artificial tears and restatitis. The soft gels work well. I can feel the relief are taking them. I only take two a day instead of the recommended 3 times and I split the time taking one after breakfast and dinner because otherwise my stomach gets upset. I also less fish burps than I do with other fish oil supplements.,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2015-06-10,5.0,Dry Eye and Dry Skin Relief.,Great for use by folks like myself with dry skin and dry eye problems,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2014-07-09,5.0,Five Stars,The only product I have found that truly helps with dry eyes.,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2013-02-11,5.0,Very Helpful Product,"Thera Tears is a very good company. I had episodes of dry eye. Thera Tears Nutrition is Omega 3 oil capsules, that will give you moisture in your eyes, plus your total body. I received relief in two weeks taking the capsules every day. I plan to take the capsules forever. Thera tears eye drops for day and night are gentle and give comfort. The eye drops will help until the omega capsules take over. Thera Tears have a very good customer service, and will help with questions you have.",Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2013-02-06,1.0,not working,"I have used almost 3/4 of the formula and I detect no dif,doda do da do ad do da do",Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2012-12-01,5.0,I have dry eye,My doctor recommended that I use these since I have dry eye. I have taken them for a few years now. My pharmacy ran out of them and local pharmacies don't carry them anymore. I quickly found that my eyes were red and sore without this capsules. Thank goodness I could order them through Amazon. I had no idea how much they were helping me.,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000FZZ582,2011-02-07,5.0,Five Stars,great product,Theratears Nutrition Omega-3 Supplement 90 Capsules,Advanced Vision Research,All Beauty,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",8,"The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD","The omega-3s in TheraTears Nutrition come from organically grown cold-pressed lignan-free flaxseed oil, and premium molecularly-distilled (mercury-free, PCB-free) fish oil. This flaxseed/fish oil blend supplements omega-3 metabolism better than flaxseed or fish oil alone, and makes TheraTears Nutrition great for healthy tears and eyes, and great for healthy saliva and oral health. ""Our landmark research shows that omega-3 nutrition is critical for normal tear function that is necessary to maintain healthy, comfortable eyes throughout the day. And new research also shows that TheraTears Nutrition also supports saliva production that is necessary for oral health and mouth comfort. Try TheraTears Nutrition and see what we have accomplished!"" Jeffrey P. Gilbrand, MD",original,Supplements
B000SOLM3W,2018-05-23,5.0,Flavor,Easy to mix and flavor good,Arginaid - Orange (box of 14 9.2g packets),Novartis,All Beauty,"Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.",8,"Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.","Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.",original,Supplements
B000SOLM3W,2018-01-15,5.0,Much cheaper than juven. Same results.,Much cheaper than juven. Same results. I was put on this in the hospital and am still using it at home,Arginaid - Orange (box of 14 9.2g packets),Novartis,All Beauty,"Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.",8,"Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.","Arginaid - Orange (box of 14 9.2g packets) Arginaid drink mix is a nutritional supplement specifically made for patients recovering from burns, surgery or chronic wounds. This supplement contains arginine vitamin C and vitamin E to promote wound healing and comes in a delicious orange flavor. Nutrition Facts Nutrients Per Single Serving (9.2 grams) Calories 35 Protein (See nitrogen information box) L-arginine g (Total Nitrogen 1.4 g) 4.5 Carbohydrate g 4 Fat g 0 Sodium mg (mEq) 70 (3.0) Potassium mg (mEq) 10 (0.3) Vitamin C mg 155 Vitamin E IU 90 Ingredients: L-arginine, citric acid, malic acid, sodium ascorbate, natural and artificial flavors, alpha tocopheryl acetate, aspartame*, acesulfame potassium, Yellow No. 5, Yellow No. 6.",original,Supplements
